,Search category,value,Subject type
0,Food & Drink,0.0205314486516,PSI
1,Food & Drink,0.0364346990825,PSI
2,Food & Drink,0.0134711779449,PSI
3,Food & Drink,0.0205444273241,PSI
4,Food & Drink,0.02836234934,PSI
5,Food & Drink,0.0229743083004,PSI
6,Food & Drink,0.00928792569659,PSI
7,Food & Drink,0.0435596066203,PSI
8,Food & Drink,0.0348374253484,PSI
9,Food & Drink,0.0658564624733,PSI
10,Food & Drink,0.0164633985723,PSI
11,Food & Drink,0.017473789316,PSI
12,Food & Drink,0.0385053110774,PSI
13,Food & Drink,0.0219189412738,NPSI
14,Food & Drink,0.0726317875545,NPSI
15,Food & Drink,0.0934306569343,NPSI
16,Food & Drink,0.0658779025313,NPSI
17,Food & Drink,0.0418728587743,NPSI
18,Food & Drink,0.0313199105145,NPSI
19,Food & Drink,0.0483654876742,NPSI
20,Food & Drink,0.0601769911504,NPSI
21,Food & Drink,0.075,NPSI
22,Food & Drink,0.0326398852224,NPSI
23,Food & Drink,0.0288043478261,NPSI
24,Food & Drink,0.041312272175,NPSI
25,Food & Drink,0.0355241417294,NPSI
26,Food & Drink,0.0328297171419,NPSI
27,Food & Drink,0.0473684210526,NPSI
28,Food & Drink,0.0,NPSI
29,Food & Drink,0.0744047619048,NPSI
30,Food & Drink,0.0414278892073,NPSI
31,Food & Drink,0.056976744186,NPSI
32,Food & Drink,0.030588707251,NPSI
33,Food & Drink,0.0484581497797,NPSI
34,Food & Drink,0.0217476489028,NPSI
35,Food & Drink,0.0607994625462,NPSI
36,Food & Drink,0.0262729737873,NPSI
37,Food & Drink,0.0365521003819,NPSI
38,Food & Drink,0.0450198898409,NPSI
39,Food & Drink,0.0411143563244,NPSI
40,Food & Drink,0.0317634173056,NPSI
41,Food & Drink,0.0,NPSI
42,Food & Drink,0.0334041320718,NPSI
43,Food & Drink,0.037037037037,NPSI
44,Food & Drink,0.0704225352113,NPSI
45,Food & Drink,0.0334430406625,NPSI
46,Food & Drink,0.0718232044199,NPSI
47,Food & Drink,0.0104814354237,NPSI
48,Food & Drink,0.0918065153011,NPSI
49,Food & Drink,0.0141017780503,NPSI
50,Food & Drink,0.0145695364238,NPSI
51,Food & Drink,0.0767380848273,NPSI
52,Food & Drink,0.0694603174603,NPSI
53,Food & Drink,0.0296128849958,NPSI
54,Travel,0.00146089153867,PSI
55,Travel,0.00132489814845,PSI
56,Travel,0.00093984962406,PSI
57,Travel,0.00154083204931,PSI
58,Travel,0.000526114405969,PSI
59,Travel,0.000926383399209,PSI
60,Travel,0.0,PSI
61,Travel,0.0025905492924,PSI
62,Travel,0.0036496350365,PSI
63,Travel,0.00131384463787,PSI
64,Travel,0.00123804757264,PSI
65,Travel,0.0,PSI
66,Travel,0.00170713201821,PSI
67,Travel,0.000413564929694,NPSI
68,Travel,0.00356718192628,NPSI
69,Travel,0.0043795620438,NPSI
70,Travel,0.00265604249668,NPSI
71,Travel,0.00304529881995,NPSI
72,Travel,0.00149142431022,NPSI
73,Travel,0.00147374062165,NPSI
74,Travel,0.000884955752212,NPSI
75,Travel,0.00292553191489,NPSI
76,Travel,0.00681492109039,NPSI
77,Travel,0.000407608695652,NPSI
78,Travel,0.0,NPSI
79,Travel,0.00123921424637,NPSI
80,Travel,0.00227195274338,NPSI
81,Travel,0.0,NPSI
82,Travel,0.0,NPSI
83,Travel,0.00595238095238,NPSI
84,Travel,0.00191021967526,NPSI
85,Travel,0.00232558139535,NPSI
86,Travel,0.00050145421723,NPSI
87,Travel,0.00440528634361,NPSI
88,Travel,0.00235109717868,NPSI
89,Travel,0.00705408128989,NPSI
90,Travel,0.00192829165411,NPSI
91,Travel,0.0240043644299,NPSI
92,Travel,0.00183598531212,NPSI
93,Travel,0.00696472702763,NPSI
94,Travel,0.00219058050383,NPSI
95,Travel,0.0,NPSI
96,Travel,0.0032824869666,NPSI
97,Travel,0.0,NPSI
98,Travel,0.0,NPSI
99,Travel,0.00721945004778,NPSI
100,Travel,0.0,NPSI
101,Travel,0.000355302895719,NPSI
102,Travel,0.000987166831194,NPSI
103,Travel,0.00306560392397,NPSI
104,Travel,0.0,NPSI
105,Travel,0.0052470485352,NPSI
106,Travel,0.00863492063492,NPSI
107,Travel,0.00559480079118,NPSI
108,Business & Industrial,0.0296521498796,PSI
109,Business & Industrial,0.0637607233944,PSI
110,Business & Industrial,0.00438596491228,PSI
111,Business & Industrial,0.0236260914227,PSI
112,Business & Industrial,0.0350583508705,PSI
113,Business & Industrial,0.0184041501976,PSI
114,Business & Industrial,0.0061919504644,PSI
115,Business & Industrial,0.0236507555769,PSI
116,Business & Industrial,0.0384870603849,PSI
117,Business & Industrial,0.0305468878305,PSI
118,Business & Industrial,0.0232858309407,PSI
119,Business & Industrial,0.00848726909636,PSI
120,Business & Industrial,0.0166919575114,PSI
121,Business & Industrial,0.0128205128205,NPSI
122,Business & Industrial,0.100079270709,NPSI
123,Business & Industrial,0.0262773722628,NPSI
124,Business & Industrial,0.0352529276832,NPSI
125,Business & Industrial,0.0216977540921,NPSI
126,Business & Industrial,0.0693512304251,NPSI
127,Business & Industrial,0.0357717041801,NPSI
128,Business & Industrial,0.0557522123894,NPSI
129,Business & Industrial,0.0449468085106,NPSI
130,Business & Industrial,0.035987565758,NPSI
131,Business & Industrial,0.0249320652174,NPSI
132,Business & Industrial,0.0097205346294,NPSI
133,Business & Industrial,0.0292362768496,NPSI
134,Business & Industrial,0.0232875156197,NPSI
135,Business & Industrial,0.0315789473684,NPSI
136,Business & Industrial,0.0769230769231,NPSI
137,Business & Industrial,0.0654761904762,NPSI
138,Business & Industrial,0.0510983763133,NPSI
139,Business & Industrial,0.043023255814,NPSI
140,Business & Industrial,0.0234680573664,NPSI
141,Business & Industrial,0.0704845814978,NPSI
142,Business & Industrial,0.0245885579937,NPSI
143,Business & Industrial,0.029559959691,NPSI
144,Business & Industrial,0.0284121723411,NPSI
145,Business & Industrial,0.0169121658483,NPSI
146,Business & Industrial,0.0399326805386,NPSI
147,Business & Industrial,0.0381936643451,NPSI
148,Business & Industrial,0.0624315443593,NPSI
149,Business & Industrial,0.0,NPSI
150,Business & Industrial,0.0274184205445,NPSI
151,Business & Industrial,0.0,NPSI
152,Business & Industrial,0.0,NPSI
153,Business & Industrial,0.155005839261,NPSI
154,Business & Industrial,0.0570902394107,NPSI
155,Business & Industrial,0.00941552673654,NPSI
156,Business & Industrial,0.0444225074038,NPSI
157,Business & Industrial,0.0748007357449,NPSI
158,Business & Industrial,0.00662251655629,NPSI
159,Business & Industrial,0.089637079143,NPSI
160,Business & Industrial,0.0195555555556,NPSI
161,Business & Industrial,0.030404068946,NPSI
162,Autos & Vehicles,0.0167410273621,PSI
163,Autos & Vehicles,0.0187473088006,PSI
164,Autos & Vehicles,0.031015037594,PSI
165,Autos & Vehicles,0.0333846944016,PSI
166,Autos & Vehicles,0.0155442892673,PSI
167,Autos & Vehicles,0.0161808300395,PSI
168,Autos & Vehicles,0.0030959752322,PSI
169,Autos & Vehicles,0.047589349964,PSI
170,Autos & Vehicles,0.0170869276709,PSI
171,Autos & Vehicles,0.017901133191,PSI
172,Autos & Vehicles,0.0300028975581,PSI
173,Autos & Vehicles,0.0064902646031,PSI
174,Autos & Vehicles,0.0189681335357,PSI
175,Autos & Vehicles,0.0186104218362,NPSI
176,Autos & Vehicles,0.0977011494253,NPSI
177,Autos & Vehicles,0.0510948905109,NPSI
178,Autos & Vehicles,0.0375870256348,NPSI
179,Autos & Vehicles,0.0529120669966,NPSI
180,Autos & Vehicles,0.0581655480984,NPSI
181,Autos & Vehicles,0.0263933547696,NPSI
182,Autos & Vehicles,0.0176991150442,NPSI
183,Autos & Vehicles,0.169946808511,NPSI
184,Autos & Vehicles,0.035987565758,NPSI
185,Autos & Vehicles,0.0336277173913,NPSI
186,Autos & Vehicles,0.0182260024301,NPSI
187,Autos & Vehicles,0.010693959978,NPSI
188,Autos & Vehicles,0.03691923208,NPSI
189,Autos & Vehicles,0.0105263157895,NPSI
190,Autos & Vehicles,0.0769230769231,NPSI
191,Autos & Vehicles,0.014880952381,NPSI
192,Autos & Vehicles,0.0324737344795,NPSI
193,Autos & Vehicles,0.0325581395349,NPSI
194,Autos & Vehicles,0.0341991776151,NPSI
195,Autos & Vehicles,0.0176211453744,NPSI
196,Autos & Vehicles,0.0650470219436,NPSI
197,Autos & Vehicles,0.0164595230097,NPSI
198,Autos & Vehicles,0.0125640253088,NPSI
199,Autos & Vehicles,0.050736497545,NPSI
200,Autos & Vehicles,0.0402004283966,NPSI
201,Autos & Vehicles,0.0337002920692,NPSI
202,Autos & Vehicles,0.0690032858708,NPSI
203,Autos & Vehicles,0.0,NPSI
204,Autos & Vehicles,0.00888202355667,NPSI
205,Autos & Vehicles,0.0,NPSI
206,Autos & Vehicles,0.0140845070423,NPSI
207,Autos & Vehicles,0.0493682981208,NPSI
208,Autos & Vehicles,0.00184162062615,NPSI
209,Autos & Vehicles,0.0119026470066,NPSI
210,Autos & Vehicles,0.0187561697927,NPSI
211,Autos & Vehicles,0.0754138565297,NPSI
212,Autos & Vehicles,0.00264900662252,NPSI
213,Autos & Vehicles,0.0555312636642,NPSI
214,Autos & Vehicles,0.0405079365079,NPSI
215,Autos & Vehicles,0.0206838089856,NPSI
216,Hobbies & Leisure,0.0110159118727,PSI
217,Hobbies & Leisure,0.0218608194495,PSI
218,Hobbies & Leisure,0.00595238095238,PSI
219,Hobbies & Leisure,0.010272213662,PSI
220,Hobbies & Leisure,0.0133441744787,PSI
221,Hobbies & Leisure,0.00907855731225,PSI
222,Hobbies & Leisure,0.0030959752322,PSI
223,Hobbies & Leisure,0.0155912688894,PSI
224,Hobbies & Leisure,0.00812873258129,PSI
225,Hobbies & Leisure,0.00903268188537,PSI
226,Hobbies & Leisure,0.00703316387008,PSI
227,Hobbies & Leisure,0.0104842735896,PSI
228,Hobbies & Leisure,0.00853566009105,PSI
229,Hobbies & Leisure,0.00248138957816,NPSI
230,Hobbies & Leisure,0.0491478398732,NPSI
231,Hobbies & Leisure,0.0379562043796,NPSI
232,Hobbies & Leisure,0.0158155257757,NPSI
233,Hobbies & Leisure,0.0209364293871,NPSI
234,Hobbies & Leisure,0.0246085011186,NPSI
235,Hobbies & Leisure,0.0164790996785,NPSI
236,Hobbies & Leisure,0.0115044247788,NPSI
237,Hobbies & Leisure,0.0202127659574,NPSI
238,Hobbies & Leisure,0.006456241033,NPSI
239,Hobbies & Leisure,0.0085597826087,NPSI
240,Hobbies & Leisure,0.0048602673147,NPSI
241,Hobbies & Leisure,0.0224435469066,NPSI
242,Hobbies & Leisure,0.0128365330001,NPSI
243,Hobbies & Leisure,0.0210526315789,NPSI
244,Hobbies & Leisure,0.0,NPSI
245,Hobbies & Leisure,0.014880952381,NPSI
246,Hobbies & Leisure,0.0273400191022,NPSI
247,Hobbies & Leisure,0.0145348837209,NPSI
248,Hobbies & Leisure,0.00912646675359,NPSI
249,Hobbies & Leisure,0.0132158590308,NPSI
250,Hobbies & Leisure,0.0148902821317,NPSI
251,Hobbies & Leisure,0.0292240510581,NPSI
252,Hobbies & Leisure,0.00997288339861,NPSI
253,Hobbies & Leisure,0.00872885979269,NPSI
254,Hobbies & Leisure,0.0690406976744,NPSI
255,Hobbies & Leisure,0.0107840934621,NPSI
256,Hobbies & Leisure,0.0164293537788,NPSI
257,Hobbies & Leisure,0.0,NPSI
258,Hobbies & Leisure,0.0104267233057,NPSI
259,Hobbies & Leisure,0.0,NPSI
260,Hobbies & Leisure,0.0704225352113,NPSI
261,Hobbies & Leisure,0.0507484871005,NPSI
262,Hobbies & Leisure,0.0718232044199,NPSI
263,Hobbies & Leisure,0.0166992360988,NPSI
264,Hobbies & Leisure,0.0493583415597,NPSI
265,Hobbies & Leisure,0.0122624156959,NPSI
266,Hobbies & Leisure,0.00397350993377,NPSI
267,Hobbies & Leisure,0.0198950590293,NPSI
268,Hobbies & Leisure,0.0126984126984,NPSI
269,Hobbies & Leisure,0.0176886126024,NPSI
