,35fed6a9a0bf1c_labelled,361044da6b5d9a_labelled,3626f6903354b2_labelled,360eacde42f07c_labelled,36051ecd8c4ca2_labelled,360f61a2ebff78_labelled,35fe072bb73ce2_labelled,36103b2f43f810_labelled,35fafa696f1180_labelled,36102f386840b2_labelled,3605fc6be3d63c_labelled,35fed7c5974de0_labelled,35787878787878_labelled,35fb0a1ac2e81c_labelled,35faf634ba1e9e_labelled,360e9521584ce6_labelled,35fee27f6a26ca_labelled,36110ae10c3d3e_labelled,36104a968d9ee2_labelled,3605f60c751daa_labelled,35ffb55217e592_labelled,35777777777777_labelled,3626f804162108_labelled,35fa42ba5190a4_labelled,360ddfbd854066_labelled,35fd5b83b88b12_labelled,35fa3211bd0a02_labelled,35fd4f85e6ad56_labelled,360472c2621eaa_labelled,35fed90a9f8324_labelled,35797979797979_labelled,35fb0466ef53b6_labelled,3611064f3a7244_labelled,35fd5d66c7e2f0_labelled,35fef442aba2f8_labelled,3600808bcb8f78_labelled,360e93d13eabc4_labelled,35ffa65213cd1a_labelled,360518c09b9ff4_labelled,35fe13b4df2dc8_labelled,360088be33e584_labelled
Business & Industrial,0.05500413564929694,0.03834720570749108,0.07737226277372262,0.03259688518652662,0.06623524933384088,0.02162565249813572,0.02157020364415863,0.023893805309734513,0.031914893617021274,0.02773792443806791,0.021195652173913043,0.02551640340218712,0.028318340370846337,0.04100874701806202,0.042105263157894736,0.0,0.10714285714285714,0.04572588347659981,0.0377906976744186,0.01955671447196871,0.04405286343612335,0.02390282131661442,0.04904266039637219,0.03612533895751732,0.06546644844517185,0.029184516523867807,0.07121995057290496,0.040525739320920046,0.0,0.022784321297547788,0.18518518518518517,0.0,0.033867714194712815,0.01289134438305709,0.010659086871558003,0.01579466929911155,0.022072348252605765,0.01456953642384106,0.040664626147791864,0.07428571428571429,0.04667985306583781
Home & Garden,0.009511993382961124,0.013971462544589775,0.026277372262773723,0.017022817819630567,0.006090597639893415,0.010439970171513796,0.01192390139335477,0.01327433628318584,0.00851063829787234,0.011836441893830704,0.00985054347826087,0.0036452004860267314,0.0053699284009546535,0.008292627513347722,0.005263157894736842,0.0,0.026785714285714284,0.015401146131805158,0.007558139534883721,0.009427339283923378,0.0,0.01195141065830721,0.009405441719852201,0.011871045495631213,0.005455537370430988,0.013502141982864138,0.01617614019321501,0.012048192771084338,0.0,0.006951148870438309,0.037037037037037035,0.0,0.012952542732774179,0.003683241252302026,0.003908331852904601,0.007897334649555774,0.009196811771919068,0.0026490066225165563,0.025360734586794928,0.009015873015873015,0.013054535179429217
Travel,0.018610421836228287,0.09770114942528736,0.051094890510948905,0.037587025634834396,0.05291206699657404,0.058165548098434,0.02639335476956056,0.017699115044247787,0.1699468085106383,0.03598756575801052,0.033627717391304345,0.018226002430133656,0.010693959977969524,0.03691923207997274,0.010526315789473684,0.07692307692307693,0.01488095238095238,0.03247373447946514,0.03255813953488372,0.034199177615083745,0.01762114537444934,0.06504702194357367,0.01645952300974135,0.012564025308827961,0.05073649754500818,0.040200428396572827,0.03370029206919793,0.06900328587075576,0.0,0.008882023556671172,0.0,0.014084507042253521,0.04936829812081962,0.001841620626151013,0.011902647006573104,0.018756169792694965,0.07541385652973635,0.0026490066225165563,0.055531263664188896,0.04050793650793651,0.02068380898558915
Arts & Entertainment,0.17907361455748552,0.14546175188267935,0.13284671532846715,0.2165479496156787,0.18347925390178912,0.23415361670395227,0.2709003215434084,0.16106194690265488,0.1,0.1516021042563367,0.18817934782608695,0.12515188335358446,0.22103910409399669,0.09826195615131206,0.1,0.0,0.09226190476190477,0.1981852913085005,0.16162790697674417,0.1878447497743456,0.13656387665198239,0.22923197492163008,0.22405105811219347,0.252094004218138,0.11947626841243862,0.23240514075887392,0.15906537856661424,0.10843373493975904,0.0,0.22687777563236147,0.18518518518518517,0.6056338028169014,0.13950525533496125,0.35359116022099446,0.11884881861787173,0.2714708785784798,0.13733905579399142,0.18543046357615894,0.11565369479667686,0.09803174603174603,0.1416219270980503
Sports,0.016542597187758478,0.035275465715418154,0.026277372262773723,0.03380417723047205,0.08717167872097449,0.05741983594332588,0.029340836012861738,0.06548672566371681,0.025,0.019249163079866093,0.04551630434782609,0.013365735115431349,0.013126491646778043,0.06111552879700102,0.02631578947368421,0.07692307692307693,0.020833333333333332,0.02304202483285578,0.17093023255813952,0.04442884364657507,0.013215859030837005,0.017143416927899686,0.018810883439704402,0.023922868333835494,0.015275504637206765,0.0236765605875153,0.04448438553134127,0.033953997809419496,0.0,0.01370921027225333,0.0,0.0,0.014757405244718124,0.01841620626151013,0.046011724995558716,0.03652517275419546,0.05702023298589822,0.0026490066225165563,0.04263226934849147,0.02946031746031746,0.05153998304605821
Food & Drink,0.01282051282051282,0.10007927070947285,0.026277372262773723,0.03525292768320657,0.02169775409212029,0.06935123042505593,0.03577170418006431,0.05575221238938053,0.0449468085106383,0.03598756575801052,0.024932065217391303,0.009720534629404616,0.029236276849642005,0.02328751561967511,0.031578947368421054,0.07692307692307693,0.06547619047619048,0.051098376313276024,0.04302325581395349,0.02346805736636245,0.07048458149779736,0.024588557993730407,0.029559959690964057,0.028412172341066588,0.01691216584833606,0.03993268053855569,0.03819366434509099,0.0624315443592552,0.0,0.02741842054450666,0.0,0.0,0.15500583926106806,0.0570902394106814,0.009415526736542904,0.044422507403751234,0.07480073574494175,0.006622516556291391,0.08963707914298208,0.019555555555555555,0.03040406894602995
Pets & Animals,0.0012406947890818859,0.0014863258026159335,0.004379562043795621,0.0019316672703126887,0.00038066235249333843,0.0044742729306487695,0.003215434083601286,0.0,0.002127659574468085,0.003706360593017695,0.004347826086956522,0.0,0.0016981824857719846,0.0018175621947063502,0.0,0.0,0.005952380952380952,0.0065663801337153774,0.0,0.0038110520509477483,0.0,0.003232758620689655,0.0006718172657037286,0.003073214823742091,0.0010911074740861974,0.001950734394124847,0.004268703662098405,0.012048192771084338,0.0,0.010233635837034176,0.0,0.0,0.0021233676611105215,0.009208103130755065,0.00017765144785930004,0.018756169792694965,0.003678724708767627,0.0,0.004372540445999125,0.0013968253968253967,0.0012432890647075445
Health,0.015301902398676593,0.03408640507332541,0.017518248175182483,0.028492092237112156,0.020555767034640272,0.03281133482475764,0.033092175777063235,0.02831858407079646,0.06223404255319149,0.0352702056432329,0.020855978260869566,0.07047387606318348,0.07435285478244906,0.015562876292173122,0.3105263157894737,0.15384615384615385,0.047619047619047616,0.04095033428844317,0.029069767441860465,0.01955671447196871,0.05286343612334802,0.09100705329153605,0.021498152502519314,0.019313046098222358,0.031642116748499725,0.04509638922888617,0.05998651988317232,0.044906900328587074,0.0,0.042479243097123,0.0,0.014084507042253521,0.085571716742754,0.040515653775322284,0.052229525670634214,0.05231984205330701,0.32679337829552424,0.013245033112582781,0.032138172278093576,0.051936507936507934,0.040350381463690306
Shopping,0.021918941273779982,0.07263178755449862,0.09343065693430656,0.06587790253128899,0.041872858774267226,0.03131991051454139,0.048365487674169344,0.06017699115044248,0.075,0.032639885222381634,0.028804347826086957,0.041312272174969626,0.035524141729392326,0.03282971714188345,0.04736842105263158,0.0,0.0744047619047619,0.04142788920725884,0.056976744186046514,0.030588707251027983,0.048458149779735685,0.021747648902821316,0.060799462546187434,0.026272973787285325,0.036552100381887616,0.045019889840881275,0.04111435632442148,0.03176341730558598,0.0,0.03340413207182854,0.037037037037037035,0.07042253521126761,0.03344304066249071,0.0718232044198895,0.010481435423698704,0.09180651530108588,0.014101778050275904,0.01456953642384106,0.07673808482728466,0.06946031746031746,0.029612884995761514
Finance,0.008271298593879239,0.02140309155766944,0.030656934306569343,0.028129904623928528,0.05062809288161401,0.0343027591349739,0.013263665594855305,0.022123893805309734,0.003457446808510638,0.050573888091822096,0.017391304347826087,0.01701093560145808,0.006333761703690105,0.028626604566625014,0.05789473684210526,0.0,0.005952380952380952,0.014326647564469915,0.011627906976744186,0.018252933507170794,0.004405286343612335,0.00832680250783699,0.021834061135371178,0.018379029828261523,0.07474086197490452,0.011857405140758875,0.012132105144911256,0.002190580503833516,0.0,0.020467271674068352,0.14814814814814814,0.0,0.00594542945110946,0.01841620626151013,0.012257949902291704,0.0009871668311944718,0.005518087063151441,0.0013245033112582781,0.013773502404897246,0.07339682539682539,0.007911839502684374
Adult,0.0012406947890818859,0.0009908838684106222,0.00291970802919708,0.001971910338444203,0.0011419870574800152,0.002982848620432513,0.002411575562700965,0.006194690265486726,0.0005319148936170213,0.010760401721664276,0.0016304347826086956,0.0,0.003855333210941803,0.0013631716460297625,0.005263157894736842,0.0,0.020833333333333332,0.0015520534861509074,0.0029069767441860465,0.0017049443385818875,0.0,0.005877742946708464,0.002015451797111186,0.0021090689966857487,0.007637752318603383,0.011474908200734393,0.0008986744551786115,0.0032858707557502738,0.0,0.0028963120293492954,0.0,0.028169014084507043,0.0024418728102770996,0.0055248618784530384,0.0019541659264523006,0.0009871668311944718,0.0,0.01456953642384106,0.00021862702229995628,0.0031746031746031746,0.007742300084769709
Beauty & Fitness,0.0024813895781637717,0.049147839873166864,0.03795620437956204,0.015815525775685138,0.020936429387133613,0.024608501118568233,0.01647909967845659,0.011504424778761062,0.02021276595744681,0.006456241032998565,0.008559782608695651,0.004860267314702308,0.022443546906554066,0.012836533000113597,0.021052631578947368,0.0,0.01488095238095238,0.02734001910219675,0.014534883720930232,0.009126466753585397,0.013215859030837005,0.014890282131661442,0.029224051058112193,0.009972883398614041,0.00872885979268958,0.0690406976744186,0.010784093462143339,0.01642935377875137,0.0,0.010426723305657463,0.0,0.07042253521126761,0.05074848710054146,0.0718232044198895,0.016699236098774203,0.049358341559723594,0.012262415695892091,0.003973509933774834,0.01989505902929602,0.012698412698412698,0.017688612602430064
News,0.03887510339123242,0.015755053507728895,0.01897810218978102,0.027445772465692783,0.020175104682146935,0.027591349739000747,0.021034297963558414,0.021238938053097345,0.010106382978723405,0.03825920612147298,0.02873641304347826,0.03402187120291616,0.03772718927850193,0.023514710894013406,0.042105263157894736,0.0,0.008928571428571428,0.01683381088825215,0.012209302325581395,0.027078527730418214,0.048458149779735685,0.04623824451410658,0.018474974806852538,0.01699307020186803,0.01800327332242226,0.029261015911872704,0.018422826331161535,0.018619934282584884,0.0,0.011392160648773894,0.07407407407407407,0.028169014084507043,0.013164879498885233,0.053406998158379376,0.02984544324036241,0.03257650542941757,0.03310852237890864,0.0,0.03935286401399213,0.02146031746031746,0.04408024865781294
Books & Literature,0.017783291976840365,0.009710661910424098,0.00583941605839416,0.004104792949414463,0.0053292729349067374,0.014914243102162566,0.05158092175777063,0.008849557522123894,0.009840425531914894,0.009206121472979436,0.0078125,0.010935601458080195,0.02960345144116027,0.0181756219470635,0.0,0.0,0.0,0.02304202483285578,0.009883720930232558,0.008223849162571456,0.01762114537444934,0.021747648902821316,0.06415854887470608,0.016601385959626392,0.02236770321876705,0.009524173806609547,0.007414064255223545,0.027382256297918947,0.0,0.02857694535624638,0.0,0.0,0.023250875889160208,0.02578268876611418,0.23183513945638656,0.02665350444225074,0.0018393623543838135,0.003973509933774834,0.005902929602098819,0.005841269841269842,0.017406046905905623
Online Communities,0.014061207609594707,0.009908838684106223,0.008759124087591242,0.01758622077347177,0.011419870574800152,0.002982848620432513,0.013531618435155412,0.0035398230088495575,0.003457446808510638,0.01291248206599713,0.02235054347826087,0.001215066828675577,0.01009730126675234,0.006020674769964785,0.02631578947368421,0.0,0.005952380952380952,0.011222540592168099,0.007558139534883721,0.02196369471467255,0.0,0.015380094043887148,0.024857238831037957,0.015335944561614944,0.04800872885979269,0.00944767441860465,0.0053920467310716695,0.009857612267250822,0.0,0.020467271674068352,0.0,0.0,0.008811975793608663,0.0055248618784530384,0.03961627287262391,0.011846001974333662,0.001226241569589209,0.019867549668874173,0.010712724092697858,0.005587301587301587,0.013506640293868324
Law & Government,0.011993382961124897,0.015259611573523584,0.033576642335766425,0.02120809690530806,0.017510468214693566,0.018642803877703208,0.01862272240085745,0.033628318584070796,0.014893617021276596,0.016618842659014827,0.008220108695652173,0.041312272174969626,0.02574811823021847,0.03214813131886857,0.015789473684210527,0.0,0.011904761904761904,0.02948901623686724,0.014534883720930232,0.008223849162571456,0.00881057268722467,0.023706896551724137,0.012764528048370843,0.0256402530882796,0.027277686852154936,0.017747858017135864,0.017748820489777578,0.007667031763417305,0.0,0.023170496234794363,0.0,0.0,0.009555154474997345,0.007366482504604052,0.019541659264523007,0.0029615004935834156,0.02023298589822195,0.010596026490066225,0.016834280717096632,0.015365079365079365,0.031082226617688613
Sensitive Subjects,0.008684863523573201,0.0037653586999603647,0.021897810218978103,0.013038754074610649,0.0034259611724400457,0.0014914243102162564,0.010718113612004287,0.023008849557522124,0.010106382978723405,0.010640841702534673,0.005978260869565218,0.009720534629404616,0.024600697631723886,0.010791775531068954,0.0,0.0,0.011904761904761904,0.015759312320916905,0.00813953488372093,0.004813960485407682,0.004405286343612335,0.015869905956112852,0.0030231776956667787,0.01208195239529979,0.0032733224222585926,0.01686811505507956,0.004942709503482363,0.00547645125958379,0.0,0.009461285962541031,0.0,0.0,0.006263934600276038,0.016574585635359115,0.003908331852904601,0.014807502467917079,0.004291845493562232,0.005298013245033113,0.0019676432006996065,0.005206349206349207,0.0074032212489403785
Science,0.13316790736145576,0.02843836702338486,0.05547445255474453,0.05360376675117711,0.06623524933384088,0.06263982102908278,0.019962486602357984,0.08938053097345133,0.08324468085106383,0.04770444763271162,0.0359375,0.05710814094775213,0.09633743344960528,0.12120867885947972,0.010526315789473684,0.0,0.026785714285714284,0.044412607449856735,0.031395348837209305,0.03460034098886772,0.08370044052863436,0.03977272727272727,0.029224051058112193,0.044862910515215425,0.02564102564102564,0.07122093023255814,0.13435183104920242,0.09529025191675794,0.0,0.07414558795134196,0.0,0.0,0.007219450047775773,0.027624309392265192,0.016166281755196306,0.014807502467917079,0.025137952176578784,0.018543046357615896,0.0660253607345868,0.12342857142857143,0.09211641706696808
Hobbies & Leisure,0.011579818031430935,0.021204914783987318,0.01897810218978102,0.016056984184474224,0.011419870574800152,0.018642803877703208,0.023311897106109324,0.018584070796460177,0.014361702127659574,0.014227642276422764,0.017119565217391303,0.010935601458080195,0.015237745548008079,0.02953538566397819,0.0,0.0,0.06845238095238096,0.03474212034383954,0.0069767441860465115,0.016648280012034902,0.039647577092511016,0.02468652037617555,0.018474974806852538,0.025399216631515516,0.016366612111292964,0.015070379436964505,0.030779600089867444,0.040525739320920046,0.0,0.051554354122417455,0.0,0.028169014084507043,0.020915171461938633,0.027624309392265192,0.09522117605258483,0.06811451135241856,0.022685469037400367,0.011920529801324504,0.03825972890249235,0.012698412698412698,0.01367617971178299
Games,0.03722084367245657,0.004359889021006738,0.024817518248175182,0.038754074610648316,0.010658545869813475,0.01640566741237882,0.01152197213290461,0.018584070796460177,0.003989361702127659,0.04387852702056432,0.03811141304347826,0.004860267314702308,0.005782999816412704,0.0037487220265818473,0.005263157894736842,0.0,0.008928571428571428,0.011700095510983763,0.014534883720930232,0.04382709858589911,0.03524229074889868,0.010873824451410658,0.007389989922741014,0.12551973485989756,0.0016366612111292963,0.010671664626682986,0.00943608177937542,0.008762322015334063,0.0,0.023942846109287506,0.037037037037037035,0.0,0.0018048625119439431,0.007366482504604052,0.0030200746136081007,0.018756169792694965,0.005518087063151441,0.2556291390728477,0.01289899431569742,0.009904761904761904,0.05781294150890082
Jobs & Education,0.07361455748552523,0.09244946492271106,0.061313868613138686,0.06298040162581996,0.02436239055957366,0.06562266964951528,0.05613612004287245,0.0752212389380531,0.12446808510638298,0.0895504543280727,0.03722826086956522,0.24301336573511542,0.08293556085918855,0.1659661479041236,0.04736842105263158,0.07692307692307693,0.02976190476190476,0.07951289398280802,0.14011627906976745,0.03740848460535553,0.07929515418502203,0.10687695924764891,0.07457171649311388,0.07749322084965352,0.1412984178941626,0.06601897184822521,0.08065603235228039,0.13362541073384446,0.0,0.11565939370534853,0.0,0.08450704225352113,0.09661322858052872,0.014732965009208104,0.17534197903712914,0.040473840078973346,0.07664009809932557,0.005298013245033113,0.062090074333187584,0.07923809523809523,0.06708109635490252
Autos & Vehicles,0.009511993382961124,0.007332540626238605,0.014598540145985401,0.02619823735361584,0.006851922344880091,0.005219985085756898,0.0049571275455519825,0.034513274336283185,0.00851063829787234,0.005021520803443328,0.010665760869565217,0.001215066828675577,0.004130714154580503,0.009769396796546632,0.0,0.0,0.18452380952380953,0.008357211079274117,0.00813953488372093,0.011433156152843245,0.0,0.004310344827586207,0.0050386294927779645,0.00650798433263031,0.006001091107474086,0.007841187270501836,0.004942709503482363,0.012048192771084338,0.0,0.005020274184205445,0.0,0.0,0.0036097250238878863,0.001841620626151013,0.0023094688221709007,0.003948667324777887,0.0030656039239730227,0.005298013245033113,0.008089199825098382,0.05612698412698413,0.007629273806159932
Computers & Electronics,0.12117452440033086,0.022393975426080064,0.12408759124087591,0.08004346251358203,0.11419870574800152,0.054436987322893364,0.020632368703108254,0.02920353982300885,0.043351063829787234,0.042682926829268296,0.1827445652173913,0.07290400972053462,0.018175142280154214,0.02987617857548563,0.015789473684210527,0.07692307692307693,0.050595238095238096,0.0164756446991404,0.009883720930232558,0.19496539965901113,0.013215859030837005,0.015282131661442006,0.04333221363789049,0.06935824043386563,0.023458810692853247,0.05060434516523868,0.0624578746349135,0.019715224534501644,0.0,0.026646070670013518,0.037037037037037035,0.014084507042253521,0.019747319248327847,0.020257826887661142,0.005862497779356901,0.019743336623889437,0.011036174126302882,0.12980132450331125,0.07498906864888501,0.07809523809523809,0.07877931619101441
People & Society,0.027708850289495452,0.03626634958382877,0.017518248175182483,0.0280494184876655,0.03616292348686715,0.02237136465324385,0.10651125401929261,0.05221238938053097,0.036170212765957444,0.05894308943089431,0.01936141304347826,0.03402187120291616,0.06641270424086654,0.025559468363058047,0.08421052631578947,0.3076923076923077,0.02976190476190476,0.0659025787965616,0.044186046511627906,0.019657005315414703,0.13656387665198239,0.05907131661442006,0.03795767551226067,0.0298583910816511,0.05291871249318058,0.030599755201958383,0.019096832172545496,0.027382256297918947,0.0,0.05174744159104074,0.037037037037037035,0.028169014084507043,0.04586474147998726,0.06077348066298342,0.03695150115473441,0.09378084896347483,0.017780502759043533,0.02913907284768212,0.036292085701792744,0.020825396825396827,0.029273806159932185
Reference,0.1000827129859388,0.06956004756242569,0.024817518248175182,0.06137067890055938,0.05938332698896079,0.07979120059656973,0.10865487674169347,0.084070796460177,0.0625,0.09827833572453372,0.07275815217391304,0.10935601458080195,0.11097852028639618,0.14290582755878678,0.06315789473684211,0.0,0.047619047619047616,0.1316857688634193,0.09244186046511628,0.0620800320930699,0.1277533039647577,0.08042711598746081,0.1467920725562647,0.06411569749924675,0.10747408619749045,0.07799112607099143,0.08829476522129859,0.11391018619934283,0.0,0.10986676964664993,0.037037037037037035,0.014084507042253521,0.1250663552394097,0.058931860036832415,0.03179960916681471,0.0315893385982231,0.030656039239730228,0.13112582781456952,0.07630083078268474,0.05434920634920635,0.09867194122633512
Internet & Telecom,0.052109181141439205,0.049445105033690054,0.03795620437956204,0.03187250996015936,0.05671869052150742,0.02609992542878449,0.01862272240085745,0.0415929203539823,0.028191489361702127,0.08345289335246293,0.10767663043478261,0.040097205346294046,0.019001285111070312,0.016585255026695445,0.031578947368421054,0.15384615384615385,0.011904761904761904,0.010864374403056352,0.029069767441860465,0.10660916658309097,0.0,0.016457680250783698,0.0235136042996305,0.024194034347695088,0.048554282596835786,0.021955324357405142,0.01707481464839362,0.040525739320920046,0.0,0.01853639698783549,0.18518518518518517,0.0,0.025161906784159676,0.007366482504604052,0.013679161485166104,0.009871668311944718,0.005518087063151441,0.11125827814569536,0.028421512898994316,0.020317460317460317,0.02735235942356598
Real Estate,0.00041356492969396195,0.0035671819262782403,0.004379562043795621,0.0026560424966799467,0.0030452988199467074,0.0014914243102162564,0.0014737406216505896,0.0008849557522123894,0.002925531914893617,0.0068149210903873745,0.0004076086956521739,0.0,0.0012392142463741509,0.0022719527433829375,0.0,0.0,0.005952380952380952,0.0019102196752626551,0.002325581395348837,0.0005014542172299669,0.004405286343612335,0.0023510971786833857,0.00705408128988915,0.0019282916541126845,0.024004364429896344,0.0018359853121175031,0.006964727027634239,0.002190580503833516,0.0,0.003282486966595868,0.0,0.0,0.007219450047775773,0.0,0.0003553028957186001,0.0009871668311944718,0.0030656039239730227,0.0,0.005247048535198951,0.008634920634920634,0.00559480079118395
